x,y,id
0,0,6
1,0,6
2,0,6
3,0,7
4,0,7
5,0,7
6,0,7
7,0,7
8,0,8
9,0,8
10,0,3
11,0,3
12,0,3
13,0,0
14,0,0
0,1,0
1,1,6
2,1,0
3,1,7
4,1,0
5,1,7
6,1,7
7,1,7
8,1,7
9,1,8
10,1,8
11,1,6
12,1,9
13,1,4
14,1,4
0,2,0
1,2,0
2,2,0
3,2,0
4,2,0
5,2,7
6,2,7
7,2,7
8,2,8
9,2,8
10,2,6
11,2,6
12,2,4
13,2,4
14,2,4
0,3,0
1,3,0
2,3,0
3,3,6
4,3,0
5,3,0
6,3,7
7,3,7
8,3,7
9,3,7
10,3,0
11,3,3
12,3,4
13,3,8
14,3,4
0,4,6
1,4,0
2,4,0
3,4,0
4,4,0
5,4,0
6,4,0
7,4,4
8,4,7
9,4,0
10,4,0
11,4,0
12,4,4
13,4,8
14,4,3
0,5,9
1,5,0
2,5,0
3,5,0
4,5,0
5,5,5
6,5,5
7,5,4
8,5,0
9,5,0
10,5,0
11,5,0
12,5,2
13,5,4
14,5,4
0,6,1
1,6,0
2,6,1
3,6,9
4,6,0
5,6,0
6,6,0
7,6,8
8,6,0
9,6,0
10,6,0
11,6,0
12,6,2
13,6,4
14,6,6
0,7,1
1,7,1
2,7,1
3,7,1
4,7,0
5,7,7
6,7,7
7,7,0
8,7,0
9,7,0
10,7,0
11,7,5
12,7,5
13,7,3
14,7,6
0,8,1
1,8,1
2,8,1
3,8,1
4,8,1
5,8,7
6,8,1
7,8,0
8,8,0
9,8,0
10,8,0
11,8,5
12,8,5
13,8,5
14,8,5
0,9,1
1,9,1
2,9,1
3,9,6
4,9,6
5,9,6
6,9,6
7,9,5
8,9,0
9,9,0
10,9,0
11,9,8
12,9,5
13,9,5
14,9,5
0,10,1
1,10,8
2,10,1
3,10,1
4,10,6
5,10,6
6,10,6
7,10,0
8,10,0
9,10,0
10,10,4
11,10,8
12,10,8
13,10,5
14,10,3
0,11,8
1,11,8
2,11,8
3,11,8
4,11,8
5,11,6
6,11,6
7,11,5
8,11,0
9,11,1
10,11,4
11,11,4
12,11,4
13,11,9
14,11,3
0,12,3
1,12,8
2,12,8
3,12,7
4,12,3
5,12,1
6,12,3
7,12,5
8,12,3
9,12,4
10,12,4
11,12,4
12,12,4
13,12,0
14,12,3
0,13,3
1,13,3
2,13,7
3,13,7
4,13,3
5,13,3
6,13,3
7,13,3
8,13,3
9,13,8
10,13,4
11,13,4
12,13,9
13,13,0
14,13,7
0,14,3
1,14,3
2,14,7
3,14,2
4,14,3
5,14,3
6,14,3
7,14,3
8,14,3
9,14,4
10,14,4
11,14,3
12,14,0
13,14,0
14,14,0
